locale;category_id;name;name_slug;singular_name;singular_name_slug
es_ES;18cb2abd-3ee6-4a12-b69e-d42110c2efca;Videocamaras;videocamaras;;
es_ES;66264bd3-3d9b-4534-a995-49e777d5bc3d;Android/Smart TV;android-smart-tv;;
es_ES;da726d35-899a-4d64-84be-e4d1f3031870;Accesorios Camaras;accesorios-camaras;;
es_ES;c4f27236-4f93-40eb-bdb5-9791eae73f7e;Pantallas de Proyección;pantallas-de-proyeccion;;
es_ES;57657d14-0100-4604-94ef-7b24fad8d383;Audio Pro;audio-pro;;
es_ES;561db2dc-a040-4212-ace9-9b5906578a2d;Car Audio;car-audio;;
es_ES;9df97279-a9a4-4007-bb8c-59354d23f212;Cajas/Carcasas Externas;cajas-carcasas-externas;;
es_ES;7142a16d-d1ab-4205-90e1-a12498b79e6d;Discos duros/Carcasas de Red/NAS;discos-duros-carcasas-de-red-nas;;
es_ES;0c5e88e3-8940-4394-b556-b9704d316438;Accesorios Discos Duros;accesorios-discos-duros;;
es_ES;c3e61fec-9731-4b99-9a4d-849be02612cb;Presentadores Multimedia;presentadores-multimedia;;
es_ES;01d31d71-4de0-415c-8b8c-e98891153fda;Home Cinema;home-cinema;;
es_ES;e062b9a4-ae27-4120-9783-ce5234d24d22;Grabadoras de Voz;grabadoras-de-voz;;
es_ES;ae192e0c-0c78-49bd-b1a0-3e14047676d6;TV Satélite;tv-satelite;;
es_ES;8a2ed0d2-32b5-4f97-92c9-f893fd785ff6;TDT;tdt;;
es_ES;ea9673d0-2a4d-479d-aa1e-b788d12ca063;Accesorios GoPro;accesorios-gopro;;
es_ES;8274e0ed-3bc6-49d5-8ecd-a20af502a765;Pizarras Digitales;pizarras-digitales;;
es_ES;c430e4fd-db2f-46fd-9dbc-cff4073285aa;Multilectores;multilectores;;
fr_FR;5fa5ba62-f230-4184-ba88-d10e15bf024d;Disques durs;disques-durs;Disque dur;disque-dur
es_ES;8f8740a9-3f1b-49aa-8125-78cf2089237b;Accesorios Smartphone;accesorios-smartphone;;
es_ES;eb6e9bfd-cb8f-41fe-924b-bcf9cb934794;Repuestos Smartphones;repuestos-smartphones;;
en_GB;b7df0eb5-f682-42ed-86fd-36a8eecc1a28;Drone Accessories;drone-accessories;;
